date,geography,geography code,Welsh understanding ability: Total: All usual residents aged 3 years and over,Welsh understanding ability: Cannot understand spoken Welsh,Welsh understanding ability: Can understand spoken Welsh
2021,Isle of Anglesey 001A,W01000003,2370,761,1609
2021,Isle of Anglesey 001B,W01000004,1229,535,694
2021,Isle of Anglesey 005A,W01000005,1585,771,814
2021,Isle of Anglesey 006A,W01000006,1494,395,1099
2021,Isle of Anglesey 009A,W01000007,1738,567,1171
2021,Isle of Anglesey 008A,W01000008,1418,340,1078
2021,Isle of Anglesey 007C,W01000009,1818,531,1287
2021,Isle of Anglesey 002A,W01000010,1775,795,980
2021,Isle of Anglesey 008B,W01000011,999,458,541
2021,Isle of Anglesey 006B,W01000012,1656,403,1253
2021,Isle of Anglesey 005B,W01000013,2130,767,1363
2021,Isle of Anglesey 006C,W01000014,2128,448,1680
2021,Isle of Anglesey 008C,W01000015,1431,395,1036
2021,Isle of Anglesey 003A,W01000016,1157,546,611
2021,Isle of Anglesey 003B,W01000017,1636,626,1010
2021,Isle of Anglesey 001C,W01000018,1148,524,624
2021,Isle of Anglesey 005C,W01000019,1322,723,599
2021,Isle of Anglesey 002C,W01000021,2266,931,1335
2021,Isle of Anglesey 004A,W01000022,1576,573,1003
2021,Isle of Anglesey 007D,W01000023,1526,444,1082
2021,Isle of Anglesey 007E,W01000024,1293,704,589
2021,Isle of Anglesey 009B,W01000025,2097,496,1601
2021,Isle of Anglesey 005D,W01000026,1229,568,661
2021,Isle of Anglesey 009C,W01000027,1812,570,1242
2021,Isle of Anglesey 001D,W01000028,1921,587,1334
2021,Isle of Anglesey 003C,W01000029,1541,587,954
2021,Isle of Anglesey 003D,W01000030,2236,920,1316
2021,Isle of Anglesey 001E,W01000031,1512,612,900
2021,Isle of Anglesey 003E,W01000033,1504,654,850
2021,Isle of Anglesey 004B,W01000034,1399,459,940
2021,Isle of Anglesey 005E,W01000035,1743,693,1050
2021,Isle of Anglesey 003F,W01000036,1068,475,593
2021,Isle of Anglesey 003G,W01000037,1124,442,682
2021,Isle of Anglesey 009D,W01000038,2178,760,1418
2021,Isle of Anglesey 004D,W01000040,1041,556,485
2021,Isle of Anglesey 006D,W01000041,1529,323,1206
2021,Isle of Anglesey 008D,W01000042,1982,605,1377
2021,Isle of Anglesey 004F,W01000044,1070,475,595
2021,Gwynedd 011A,W01000047,1233,295,938
2021,Gwynedd 003A,W01000050,1397,519,878
2021,Gwynedd 015A,W01000051,1945,521,1424
2021,Gwynedd 004A,W01000052,1061,187,874
2021,Gwynedd 004B,W01000053,1146,311,835
2021,Gwynedd 007A,W01000054,989,182,807
2021,Gwynedd 009A,W01000056,1715,404,1311
2021,Gwynedd 016C,W01000057,1358,484,874
2021,Gwynedd 006A,W01000059,2028,374,1654
2021,Gwynedd 015B,W01000060,1227,563,664
2021,Gwynedd 011B,W01000061,1697,611,1086
2021,Gwynedd 001A,W01000062,1964,1477,487
2021,Gwynedd 005A,W01000063,1847,484,1363
2021,Gwynedd 002A,W01000064,1943,681,1262
2021,Gwynedd 009B,W01000065,995,278,717
2021,Gwynedd 010A,W01000066,1143,377,766
2021,Gwynedd 016D,W01000067,1165,403,762
2021,Gwynedd 016E,W01000068,1375,476,899
2021,Gwynedd 012A,W01000070,1263,336,927
2021,Gwynedd 003B,W01000071,2174,530,1644
2021,Gwynedd 002B,W01000072,1633,606,1027
2021,Gwynedd 008A,W01000073,1620,341,1279
2021,Gwynedd 013B,W01000074,1770,746,1024
2021,Gwynedd 002C,W01000075,1367,676,691
2021,Gwynedd 001B,W01000076,1273,746,527
2021,Gwynedd 001C,W01000077,1146,627,519
2021,Gwynedd 011C,W01000078,1517,452,1065
2021,Gwynedd 014C,W01000080,1424,603,821
2021,Gwynedd 005B,W01000081,1958,543,1415
2021,Gwynedd 015C,W01000082,1067,359,708
2021,Gwynedd 015D,W01000083,1318,302,1016
2021,Gwynedd 014D,W01000084,1047,359,688
2021,Gwynedd 017C,W01000085,1888,1047,841
2021,Gwynedd 008B,W01000086,2113,591,1522
2021,Gwynedd 004C,W01000087,1778,306,1472
2021,Gwynedd 007B,W01000088,2009,387,1622
2021,Gwynedd 011D,W01000089,1869,430,1439
2021,Gwynedd 002D,W01000090,1315,376,939
2021,Gwynedd 001D,W01000091,1048,371,677
2021,Gwynedd 001E,W01000092,3035,2264,771
2021,Gwynedd 006B,W01000093,2184,440,1744
2021,Gwynedd 012B,W01000094,1188,305,883
2021,Gwynedd 012C,W01000095,1261,316,945
2021,Gwynedd 003C,W01000096,1220,231,989
2021,Gwynedd 003D,W01000097,1104,289,815
2021,Gwynedd 006C,W01000098,2422,450,1972
2021,Gwynedd 005C,W01000099,1617,452,1165
2021,Gwynedd 010B,W01000100,1032,296,736
2021,Gwynedd 013D,W01000101,1330,359,971
2021,Gwynedd 002E,W01000102,1831,574,1257
2021,Gwynedd 005D,W01000103,1141,386,755
2021,Gwynedd 008C,W01000104,1745,337,1408
2021,Gwynedd 010C,W01000105,1689,377,1312
2021,Gwynedd 010D,W01000106,1475,631,844
2021,Gwynedd 010E,W01000107,1167,367,800
2021,Gwynedd 012D,W01000108,2032,488,1544
2021,Gwynedd 012E,W01000109,1815,425,1390
2021,Gwynedd 006D,W01000110,1544,227,1317
2021,Gwynedd 007C,W01000111,1530,347,1183
2021,Gwynedd 008D,W01000112,1877,527,1350
2021,Gwynedd 009C,W01000113,1793,456,1337
2021,Gwynedd 009D,W01000114,1378,356,1022
2021,Gwynedd 003E,W01000115,2066,565,1501
2021,Gwynedd 017D,W01000116,1650,942,708
2021,Gwynedd 017E,W01000117,1437,731,706
2021,Gwynedd 007D,W01000118,1655,449,1206
2021,Gwynedd 004D,W01000119,2257,621,1636
2021,Conwy 015A,W01000121,1124,530,594
2021,Conwy 014A,W01000122,1916,989,927
2021,Conwy 013A,W01000123,1700,808,892
2021,Conwy 012A,W01000124,1906,1018,888
2021,Conwy 013B,W01000125,1494,837,657
2021,Conwy 009A,W01000126,1641,1136,505
2021,Conwy 009B,W01000127,1334,1063,271
2021,Conwy 009C,W01000128,1452,992,460
2021,Conwy 012B,W01000129,1151,705,446
2021,Conwy 012C,W01000130,1389,905,484
2021,Conwy 012D,W01000131,1624,879,745
2021,Conwy 001A,W01000132,1500,1077,423
2021,Conwy 002A,W01000133,1754,1311,443
2021,Conwy 015B,W01000134,1990,667,1323
2021,Conwy 006A,W01000135,1965,1399,566
2021,Conwy 006B,W01000136,1723,1145,578
2021,Conwy 015C,W01000137,1509,613,896
2021,Conwy 008A,W01000138,1891,1268,623
2021,Conwy 007A,W01000139,1575,1020,555
2021,Conwy 010B,W01000140,1721,1215,506
2021,Conwy 010C,W01000141,1501,1110,391
2021,Conwy 010D,W01000142,1493,1035,458
2021,Conwy 007B,W01000143,1524,1099,425
2021,Conwy 007C,W01000144,1594,1231,363
2021,Conwy 008B,W01000145,1259,867,392
2021,Conwy 001B,W01000146,2002,1558,444
2021,Conwy 001C,W01000147,1473,1134,339
2021,Conwy 015D,W01000148,1046,323,723
2021,Conwy 005A,W01000149,1455,1279,176
2021,Conwy 005B,W01000150,1451,1201,250
2021,Conwy 005C,W01000151,1474,1223,251
2021,Conwy 005D,W01000152,1383,1165,218
2021,Conwy 009D,W01000153,1572,1106,466
2021,Conwy 003A,W01000154,1375,1014,361
2021,Conwy 004A,W01000155,1382,1028,354
2021,Conwy 004B,W01000156,1470,1143,327
2021,Conwy 004C,W01000157,1378,1024,354
2021,Conwy 004D,W01000158,1530,1095,435
2021,Conwy 014B,W01000159,1388,481,907
2021,Conwy 014C,W01000162,1772,712,1060
2021,Conwy 009E,W01000163,1325,967,358
2021,Conwy 009F,W01000164,1315,900,415
2021,Conwy 006C,W01000165,1829,1133,696
2021,Conwy 006D,W01000166,2664,1611,1053
2021,Conwy 011C,W01000167,1933,1343,590
2021,Conwy 002B,W01000168,1775,1255,520
2021,Conwy 001D,W01000169,1737,1298,439
2021,Conwy 013C,W01000170,1753,762,991
2021,Conwy 013D,W01000171,1452,836,616
2021,Conwy 013E,W01000172,1220,638,582
2021,Conwy 003B,W01000173,1419,938,481
2021,Conwy 003C,W01000174,1557,1034,523
2021,Conwy 003D,W01000175,1502,1089,413
2021,Conwy 011D,W01000176,1556,951,605
2021,Conwy 011E,W01000177,1392,822,570
2021,Conwy 010E,W01000178,1945,1424,521
2021,Conwy 010F,W01000179,1949,1436,513
2021,Conwy 008C,W01000180,1477,1056,421
2021,Conwy 008D,W01000181,1424,982,442
2021,Conwy 007D,W01000182,2036,1610,426
2021,Conwy 008E,W01000183,1444,1075,369
2021,Conwy 005E,W01000184,2222,1867,355
2021,Conwy 015E,W01000185,1205,589,616
2021,Conwy 001E,W01000186,1552,1136,416
2021,Conwy 002C,W01000187,1463,1068,395
2021,Conwy 002D,W01000188,1549,1075,474
2021,Conwy 015F,W01000189,1428,495,933
2021,Conwy 014D,W01000190,1359,476,883
2021,Denbighshire 009A,W01000191,2027,1551,476
2021,Denbighshire 016A,W01000192,973,489,484
2021,Denbighshire 015A,W01000193,1220,612,608
2021,Denbighshire 011A,W01000194,1850,1133,717
2021,Denbighshire 012A,W01000195,1413,614,799
2021,Denbighshire 012B,W01000196,1360,688,672
2021,Denbighshire 012C,W01000197,1649,878,771
2021,Denbighshire 011B,W01000198,1324,854,470
2021,Denbighshire 011C,W01000199,1661,961,700
2021,Denbighshire 008A,W01000200,1256,916,340
2021,Denbighshire 008B,W01000201,1667,1315,352
2021,Denbighshire 015B,W01000202,1597,773,824
2021,Denbighshire 013A,W01000203,2388,1689,699
2021,Denbighshire 013B,W01000204,1424,850,574
2021,Denbighshire 016B,W01000205,1172,479,693
2021,Denbighshire 013C,W01000206,2171,1212,959
2021,Denbighshire 015C,W01000207,2243,1112,1131
2021,Denbighshire 016C,W01000208,1257,944,313
2021,Denbighshire 016D,W01000209,1373,978,395
2021,Denbighshire 016E,W01000210,1306,924,382
2021,Denbighshire 012D,W01000211,1762,864,898
2021,Denbighshire 003A,W01000212,2132,1596,536
2021,Denbighshire 002A,W01000213,1278,1021,257
2021,Denbighshire 002B,W01000214,1124,927,197
2021,Denbighshire 002C,W01000215,1438,1098,340
2021,Denbighshire 002D,W01000216,1258,997,261
2021,Denbighshire 008C,W01000217,1948,1524,424
2021,Denbighshire 001A,W01000218,1547,1298,249
2021,Denbighshire 001B,W01000219,2546,2039,507
2021,Denbighshire 001C,W01000220,1610,1375,235
2021,Denbighshire 003B,W01000221,1305,1064,241
2021,Denbighshire 003C,W01000222,1749,1417,332
2021,Denbighshire 009B,W01000223,1272,990,282
2021,Denbighshire 009C,W01000224,1521,1144,377
2021,Denbighshire 009D,W01000225,1404,1022,382
2021,Denbighshire 004A,W01000226,1485,1255,230
2021,Denbighshire 004B,W01000227,1454,1184,270
2021,Denbighshire 004C,W01000228,1596,1340,256
2021,Denbighshire 017E,W01000229,1496,1196,300
2021,Denbighshire 017F,W01000230,1866,1430,436
2021,Denbighshire 017A,W01000231,1297,1046,251
2021,Denbighshire 017B,W01000232,1584,1239,345
2021,Denbighshire 017C,W01000233,1261,1022,239
2021,Denbighshire 017G,W01000234,2182,1782,400
2021,Denbighshire 017D,W01000235,1290,998,292
2021,Denbighshire 006A,W01000236,1902,1583,319
2021,Denbighshire 006B,W01000237,1704,1504,200
2021,Denbighshire 006C,W01000238,1734,1408,326
2021,Denbighshire 004D,W01000239,1650,1432,218
2021,Denbighshire 004E,W01000240,1589,1388,201
2021,Denbighshire 004F,W01000241,1449,1237,212
2021,Denbighshire 014A,W01000242,1909,1065,844
2021,Denbighshire 014B,W01000243,2047,1197,850
2021,Denbighshire 014C,W01000244,1567,684,883
2021,Denbighshire 010A,W01000245,1795,1246,549
2021,Denbighshire 010B,W01000246,1600,1201,399
2021,Denbighshire 010C,W01000247,1781,1119,662
2021,Denbighshire 008D,W01000248,1600,1044,556
2021,Flintshire 014A,W01000249,1167,958,209
2021,Flintshire 014B,W01000250,1395,1104,291
2021,Flintshire 013A,W01000251,1503,1315,188
2021,Flintshire 010A,W01000252,1602,1435,167
2021,Flintshire 003A,W01000253,1787,1505,282
2021,Flintshire 003B,W01000254,2052,1752,300
2021,Flintshire 015A,W01000255,2207,1967,240
2021,Flintshire 015B,W01000256,1499,1333,166
2021,Flintshire 015C,W01000257,2612,2370,242
2021,Flintshire 006A,W01000258,2062,1625,437
2021,Flintshire 017A,W01000259,1628,1407,221
2021,Flintshire 017B,W01000260,1673,1438,235
2021,Flintshire 014C,W01000261,1378,1175,203
2021,Flintshire 017C,W01000262,1376,1189,187
2021,Flintshire 017D,W01000263,1298,1141,157
2021,Flintshire 012A,W01000264,1663,1403,260
2021,Flintshire 012B,W01000265,1447,1233,214
2021,Flintshire 017E,W01000266,1600,1346,254
2021,Flintshire 017F,W01000267,1978,1670,308
2021,Flintshire 013B,W01000268,1618,1368,250
2021,Flintshire 020A,W01000269,1523,1264,259
2021,Flintshire 006B,W01000270,1217,893,324
2021,Flintshire 006C,W01000271,1217,906,311
2021,Flintshire 006D,W01000272,1758,1332,426
2021,Flintshire 007A,W01000273,1499,1340,159
2021,Flintshire 007B,W01000274,1836,1649,187
2021,Flintshire 007C,W01000275,1159,1032,127
2021,Flintshire 008A,W01000276,1165,1029,136
2021,Flintshire 008B,W01000277,1328,1156,172
2021,Flintshire 007D,W01000278,1418,1290,128
2021,Flintshire 008C,W01000279,1151,1031,120
2021,Flintshire 010B,W01000280,1686,1484,202
2021,Flintshire 008D,W01000281,1140,1020,120
2021,Flintshire 010C,W01000282,1589,1382,207
2021,Flintshire 008E,W01000283,2249,2034,215
2021,Flintshire 013C,W01000284,1684,1458,226
2021,Flintshire 013D,W01000285,1566,1383,183
2021,Flintshire 013E,W01000286,2132,1826,306
2021,Flintshire 001A,W01000287,1820,1436,384
2021,Flintshire 004A,W01000288,2113,1856,257
2021,Flintshire 005A,W01000289,1300,1075,225
2021,Flintshire 004B,W01000290,1240,1074,166
2021,Flintshire 005B,W01000291,1266,1086,180
2021,Flintshire 004C,W01000292,1419,1227,192
2021,Flintshire 004D,W01000293,2558,2142,416
2021,Flintshire 005C,W01000294,1843,1550,293
2021,Flintshire 005D,W01000295,1537,1299,238
2021,Flintshire 003C,W01000296,1492,1268,224
2021,Flintshire 003D,W01000297,1195,986,209
2021,Flintshire 001B,W01000298,1439,1147,292
2021,Flintshire 019A,W01000299,1859,1483,376
2021,Flintshire 019B,W01000300,1591,1177,414
2021,Flintshire 006E,W01000301,1688,1248,440
2021,Flintshire 013F,W01000302,1897,1654,243
2021,Flintshire 018A,W01000303,1682,1460,222
2021,Flintshire 003E,W01000304,2006,1692,314
2021,Flintshire 003F,W01000305,1854,1505,349
2021,Flintshire 002A,W01000306,2360,1867,493
2021,Flintshire 020B,W01000307,1392,1175,217
2021,Flintshire 020C,W01000308,1158,955,203
2021,Flintshire 019C,W01000309,2058,1696,362
2021,Flintshire 020D,W01000310,1853,1461,392
2021,Flintshire 011A,W01000311,1634,1466,168
2021,Flintshire 011B,W01000312,1568,1416,152
2021,Flintshire 016A,W01000313,1554,1205,349
2021,Flintshire 016B,W01000314,1100,860,240
2021,Flintshire 016C,W01000315,1903,1521,382
2021,Flintshire 016D,W01000316,1199,837,362
2021,Flintshire 016E,W01000317,1563,1023,540
2021,Flintshire 016F,W01000318,1162,983,179
2021,Flintshire 016G,W01000319,1396,1132,264
2021,Flintshire 002B,W01000320,1831,1491,340
2021,Flintshire 014D,W01000321,1598,1310,288
2021,Flintshire 014E,W01000322,1343,1124,219
2021,Flintshire 012C,W01000323,1536,1240,296
2021,Flintshire 012D,W01000324,1471,1162,309
2021,Flintshire 010D,W01000325,1761,1523,238
2021,Flintshire 018B,W01000326,2151,1766,385
2021,Flintshire 018C,W01000327,2385,2019,366
2021,Flintshire 011C,W01000328,1868,1702,166
2021,Flintshire 015D,W01000329,1556,1432,124
2021,Flintshire 015E,W01000330,2016,1873,143
2021,Flintshire 015F,W01000331,1421,1333,88
2021,Flintshire 009A,W01000332,1765,1608,157
2021,Flintshire 009B,W01000333,1425,1305,120
2021,Flintshire 009C,W01000334,1701,1532,169
2021,Flintshire 009D,W01000335,1144,1023,121
2021,Flintshire 009E,W01000336,1390,1244,146
2021,Flintshire 009F,W01000337,2095,1858,237
2021,Flintshire 001C,W01000338,1725,1282,443
2021,Flintshire 019D,W01000339,1636,1182,454
2021,Flintshire 002C,W01000340,2191,1642,549
2021,Wrexham 023C,W01000341,1508,1282,226
2021,Wrexham 023E,W01000342,1487,1275,212
2021,Wrexham 023B,W01000343,1010,857,153
2021,Wrexham 023A,W01000344,1221,1030,191
2021,Wrexham 018A,W01000345,1559,1372,187
2021,Wrexham 018B,W01000346,1460,1336,124
2021,Wrexham 006A,W01000347,2701,2174,527
2021,Wrexham 006B,W01000348,1376,1180,196
2021,Wrexham 011A,W01000349,2203,1820,383
2021,Wrexham 011B,W01000350,1759,1549,210
2021,Wrexham 005A,W01000351,1998,1680,318
2021,Wrexham 017A,W01000354,1604,1301,303
2021,Wrexham 017B,W01000355,1687,1403,284
2021,Wrexham 017C,W01000356,1574,1327,247
2021,Wrexham 019C,W01000359,1159,958,201
2021,Wrexham 019D,W01000360,1193,1050,143
2021,Wrexham 019E,W01000361,1926,1645,281
2021,Wrexham 006C,W01000362,1443,1136,307
2021,Wrexham 006D,W01000363,1429,1075,354
2021,Wrexham 006E,W01000364,1429,1084,345
2021,Wrexham 011C,W01000365,1985,1578,407
2021,Wrexham 014A,W01000366,1420,1227,193
2021,Wrexham 014B,W01000367,1248,1058,190
2021,Wrexham 008A,W01000368,1935,1597,338
2021,Wrexham 021B,W01000369,1237,1087,150
2021,Wrexham 021D,W01000370,1507,1298,209
2021,Wrexham 008B,W01000371,1029,865,164
2021,Wrexham 008C,W01000372,1484,1273,211
2021,Wrexham 005B,W01000373,1698,1446,252
2021,Wrexham 003A,W01000374,1327,1112,215
2021,Wrexham 003B,W01000375,2036,1667,369
2021,Wrexham 003C,W01000376,1305,1052,253
2021,Wrexham 004A,W01000377,1497,1222,275
2021,Wrexham 004B,W01000378,1249,1094,155
2021,Wrexham 004C,W01000379,1559,1313,246
2021,Wrexham 004D,W01000380,1419,1130,289
2021,Wrexham 012A,W01000381,1084,913,171
2021,Wrexham 012B,W01000382,1337,1097,240
2021,Wrexham 022C,W01000384,1067,933,134
2021,Wrexham 014C,W01000385,1692,1306,386
2021,Wrexham 015A,W01000386,1389,1112,277
2021,Wrexham 008D,W01000387,1105,937,168
2021,Wrexham 008E,W01000388,1073,907,166
2021,Wrexham 017D,W01000389,1943,1532,411
2021,Wrexham 021A,W01000390,1695,1449,246
2021,Wrexham 003D,W01000391,1403,1175,228
2021,Wrexham 003E,W01000392,1562,1355,207
2021,Wrexham 023G,W01000393,1890,1577,313
2021,Wrexham 016A,W01000394,1136,983,153
2021,Wrexham 016B,W01000395,1015,863,152
2021,Wrexham 013A,W01000398,1189,886,303
2021,Wrexham 013B,W01000399,1064,809,255
2021,Wrexham 005C,W01000400,1775,1496,279
2021,Wrexham 005D,W01000401,1944,1641,303
2021,Wrexham 011D,W01000402,2467,2097,370
2021,Wrexham 018C,W01000403,1284,1141,143
2021,Wrexham 018D,W01000404,1956,1726,230
2021,Wrexham 015B,W01000405,2204,1550,654
2021,Wrexham 013C,W01000406,2095,1595,500
2021,Wrexham 016C,W01000407,1360,1116,244
2021,Wrexham 013D,W01000408,1194,901,293
2021,Wrexham 017E,W01000409,1782,1560,222
2021,Wrexham 014D,W01000410,1644,1159,485
2021,Wrexham 015C,W01000411,1470,1081,389
2021,Wrexham 015D,W01000412,1446,956,490
2021,Wrexham 010C,W01000413,1251,1102,149
2021,Wrexham 010D,W01000414,1150,1030,120
2021,Wrexham 023F,W01000415,1392,1188,204
2021,Wrexham 023D,W01000416,1142,994,148
2021,Wrexham 022B,W01000417,1499,1340,159
2021,Wrexham 022A,W01000418,1705,1489,216
2021,Wrexham 016D,W01000419,1389,1117,272
2021,Wrexham 016E,W01000420,1483,1225,258
2021,Wrexham 008F,W01000422,2096,1757,339
2021,Wrexham 012D,W01000423,2104,1760,344
2021,Wrexham 012E,W01000424,1239,1063,176
2021,Wrexham 010E,W01000425,1970,1768,202
2021,Powys 021A,W01000426,1385,735,650
2021,Powys 011A,W01000427,1310,1144,166
2021,Powys 005A,W01000428,1299,1070,229
2021,Powys 010A,W01000429,2272,1606,666
2021,Powys 015A,W01000430,1290,1092,198
2021,Powys 014A,W01000431,1226,998,228
2021,Powys 014B,W01000432,1178,948,230
2021,Powys 006A,W01000433,2219,1481,738
2021,Powys 007A,W01000434,1704,1581,123
2021,Powys 012A,W01000438,1203,1055,148
2021,Powys 007B,W01000439,1984,1617,367
2021,Powys 020A,W01000440,1286,1039,247
2021,Powys 005B,W01000441,1493,1270,223
2021,Powys 004A,W01000442,2002,842,1160
2021,Powys 015B,W01000443,2236,1954,282
2021,Powys 002A,W01000444,2199,1759,440
2021,Powys 015C,W01000445,1458,1337,121
2021,Powys 015D,W01000446,1642,1485,157
2021,Powys 007C,W01000447,1954,1648,306
2021,Powys 011B,W01000448,1350,1243,107
2021,Powys 011C,W01000449,1494,1354,140
2021,Powys 014C,W01000450,1364,1096,268
2021,Powys 012B,W01000451,1160,1006,154
2021,Powys 004B,W01000452,1964,1060,904
2021,Powys 010B,W01000453,1353,1048,305
2021,Powys 013A,W01000454,1242,1073,169
2021,Powys 013B,W01000455,2125,1810,315
2021,Powys 013C,W01000456,2119,1819,300
2021,Powys 002B,W01000457,2099,1790,309
2021,Powys 002C,W01000458,1814,1528,286
2021,Powys 014D,W01000459,1184,1010,174
2021,Powys 006B,W01000460,1668,993,675
2021,Powys 001A,W01000461,1548,957,591
2021,Powys 011D,W01000464,1155,1041,114
2021,Powys 018E,W01000465,1018,869,149
2021,Powys 010C,W01000466,1289,983,306
2021,Powys 010D,W01000467,1422,1107,315
2021,Powys 001D,W01000470,1948,1469,479
2021,Powys 014E,W01000471,1723,1319,404
2021,Powys 012C,W01000472,1160,962,198
2021,Powys 004C,W01000473,2092,907,1185
2021,Powys 020B,W01000474,1708,1149,559
2021,Powys 001E,W01000475,2349,1533,816
2021,Powys 005C,W01000476,1250,1063,187
2021,Powys 012D,W01000477,1488,1284,204
2021,Powys 009A,W01000478,1797,1534,263
2021,Powys 009B,W01000479,1401,1163,238
2021,Powys 008A,W01000480,2036,1711,325
2021,Powys 008B,W01000481,2139,1768,371
2021,Powys 008C,W01000482,1853,1502,351
2021,Powys 009C,W01000483,1772,1494,278
2021,Powys 011E,W01000484,1650,1514,136
2021,Powys 011F,W01000485,1553,1437,116
2021,Powys 011G,W01000486,1039,958,81
2021,Powys 012E,W01000487,2029,1666,363
2021,Powys 006C,W01000488,2124,1553,571
2021,Powys 017A,W01000489,1741,1449,292
2021,Powys 017D,W01000492,1492,1243,249
2021,Powys 017E,W01000493,1693,1464,229
2021,Powys 015E,W01000494,1661,1409,252
2021,Powys 021B,W01000496,2036,1353,683
2021,Powys 005D,W01000497,1338,1172,166
2021,Powys 003A,W01000498,1439,1233,206
2021,Powys 003B,W01000499,1208,1039,169
2021,Powys 003C,W01000500,1644,1344,300
2021,Powys 003D,W01000501,2157,1780,377
2021,Powys 021C,W01000502,2023,1040,983
2021,Powys 020C,W01000503,1034,835,199
2021,Powys 021D,W01000504,1098,674,424
2021,Powys 021E,W01000505,1399,722,677
2021,Ceredigion 005A,W01000506,1251,470,781
2021,Ceredigion 009A,W01000507,1112,532,580
2021,Ceredigion 009B,W01000508,1010,487,523
2021,Ceredigion 009C,W01000509,1819,682,1137
2021,Ceredigion 009D,W01000510,1149,487,662
2021,Ceredigion 009E,W01000511,1135,544,591
2021,Ceredigion 002A,W01000512,1341,681,660
2021,Ceredigion 002B,W01000513,2085,1474,611
2021,Ceredigion 003A,W01000515,1276,694,582
2021,Ceredigion 003B,W01000516,1580,840,740
2021,Ceredigion 002D,W01000517,1157,807,350
2021,Ceredigion 003C,W01000518,991,561,430
2021,Ceredigion 010A,W01000519,1721,778,943
2021,Ceredigion 010B,W01000522,1181,589,592
2021,Ceredigion 001C,W01000523,1836,744,1092
2021,Ceredigion 005B,W01000524,1877,774,1103
2021,Ceredigion 011A,W01000525,1209,567,642
2021,Ceredigion 008A,W01000527,1129,583,546
2021,Ceredigion 008B,W01000528,1314,565,749
2021,Ceredigion 010C,W01000531,1721,771,950
2021,Ceredigion 010D,W01000533,1313,497,816
2021,Ceredigion 011B,W01000534,1485,555,930
2021,Ceredigion 008C,W01000535,1996,892,1104
2021,Ceredigion 011E,W01000536,1336,663,673
2021,Ceredigion 008D,W01000537,1366,727,639
2021,Ceredigion 005C,W01000538,1507,655,852
2021,Ceredigion 005D,W01000539,1153,562,591
2021,Ceredigion 005E,W01000540,1117,477,640
2021,Ceredigion 008E,W01000541,1699,752,947
